,Player,Years Played,Height(cm),FT Pct
4172,Max Strus,1,195.58,0.8
4179,Edmond Sumner,3,193.04,0.5923333333333334
4214,Jayson Tatum,3,203.2,0.8375000000000001
4235,Jeff Teague,11,190.5,0.8452142857142857
4240,Garrett Temple,11,195.58,0.741
4253,Daniel Theis,3,203.2,0.748
4278,Matt Thomas,1,193.04,0.875
4303,Tristan Thompson,9,205.74,0.6063
4310,Sindarius Thornwell,3,193.04,0.635
4315,Matisse Thybulle,1,195.58,0.5905
4341,Juan Toscano-Anderson,1,198.12,0.6
4349,Karl-Anthony Towns,5,210.82,0.8488333333333333
4355,Gary Trent,2,195.58,0.6288181818181818
4371,P.J. Tucker,14,195.58,0.749
4388,Myles Turner,5,210.82,0.7575
4409,Jonas Valančiūnas,8,210.82,0.7788181818181819
4411,Denzel Valentine,4,193.04,0.81825
4420,Fred VanVleet,4,185.42000000000002,0.8390000000000001
4423,Jarred Vanderbilt,2,205.74,0.77075
4446,Gabe Vincent,1,190.5,0.846
4463,Nikola Vučević,9,210.82,0.7369
4467,Dean Wade,1,205.74,0.5
4475,Moritz Wagner,2,210.82,0.7939999999999999
4490,Kemba Walker,9,182.88,0.835
4492,Lonnie Walker,2,193.04,0.7696666666666666
4496,John Wall,10,190.5,0.7787999999999999
4514,Brad Wanamaker,2,190.5,0.8816666666666667
4528,T.J. Warren,6,203.2,0.772
4541,P.J. Washington,1,200.66,0.7050000000000001
4547,Yuta Watanabe,2,205.74,0.6916666666666668
4548,Tremont Waters,1,177.8,1.0
4554,Paul Watson,1,198.12,0.778
4603,Russell Westbrook,12,190.5,0.7808461538461539
4613,Coby White,1,195.58,0.8165
4615,Derrick White,3,193.04,0.83125
4633,Hassan Whiteside,10,213.36,0.605
4643,Andrew Wiggins,6,200.66,0.7125555555555556
4690,Grant Williams,1,198.12,0.5755
4706,Kenrich Williams,2,198.12,0.61
4709,Lou Williams,15,185.42000000000002,0.8246111111111111
4727,Robert Williams,2,203.2,0.7156666666666666
4746,Zion Williamson,1,200.66,0.6565
4755,D.J. Wilson,3,208.28,0.5409999999999999
4798,Christian Wood,5,208.28,0.7034285714285714
4823,Delon Wright,5,195.58,0.793375
4854,Thaddeus Young,13,203.2,0.645875
4856,Trae Young,2,185.42000000000002,0.8563333333333333
4860,Cody Zeller,7,210.82,0.731375
4876,Ivica Zubac,4,213.36,0.7700000000000001
